"question","response"
"Troubleshooting?","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Troubleshooting doc?","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Contributing?","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"How to contribute?","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"Report bug?","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Bug report?","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Handbook?","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"index.html?","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"Technical docs?","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"docs technical?","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"Installation steps?","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Setup from scratch?","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Prerequisites?","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"What do I need?","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Prepare the Pi?","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Prepare Pi?","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"System dependencies?","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Apt packages?","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Virtual environment?","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Use venv?","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Make install?","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"make install?","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"app.yaml?","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"What is app yaml?","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"camera_index?","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Camera index?","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Set resolution?","In configs/app.yaml set resolution as a list, e.g. [640, 480] or [1280, 720]. This is the capture resolution. Projector resolution comes from calibration or projector_profile."
"Resolution config?","In configs/app.yaml set resolution as a list, e.g. [640, 480] or [1280, 720]. This is the capture resolution. Projector resolution comes from calibration or projector_profile."
"detector?","detector can be ir (IR blob detection for IR pen) or bright (bright-point detection for laser or bright LED). Set it in configs/app.yaml. Use ir when using an IR pen with an IR-sensitive camera."
"Detector setting?","detector can be ir (IR blob detection for IR pen) or bright (bright-point detection for laser or bright LED). Set it in configs/app.yaml. Use ir when using an IR pen with an IR-sensitive camera."
"threshold?","threshold is the pixel intensity (0–255) above which a point is treated as the pointer. Higher values are stricter. It can be set in app.yaml or overridden by the selected profile (configs/profiles/)."
"Threshold config?","threshold is the pixel intensity (0–255) above which a point is treated as the pointer. Higher values are stricter. It can be set in app.yaml or overridden by the selected profile (configs/profiles/)."
"Profiles?","Profiles in configs/profiles/ (e.g. classroom.yaml, dark_room.yaml, daylight.yaml) override app.yaml settings for different lighting. Set profile: classroom (or dark_room, daylight) in app.yaml. They can set threshold, blur, and exposure hints."
"Config profiles?","Profiles in configs/profiles/ (e.g. classroom.yaml, dark_room.yaml, daylight.yaml) override app.yaml settings for different lighting. Set profile: classroom (or dark_room, daylight) in app.yaml. They can set threshold, blur, and exposure hints."
"use_libcamera?","Set use_libcamera: true in configs/app.yaml and install picamera2 (e.g. pip install picamera2). Also install libcamera: sudo apt install -y libcamera-dev python3-libcamera. picamera2 is not in requirements.txt."
"Libcamera?","Set use_libcamera: true in configs/app.yaml and install picamera2 (e.g. pip install picamera2). Also install libcamera: sudo apt install -y libcamera-dev python3-libcamera. picamera2 is not in requirements.txt."
"use_kalman?","use_kalman in app.yaml enables a 2D constant-velocity Kalman filter for pointer smoothing instead of the default EMA. Set to true to try it; default is false."
"Kalman?","use_kalman in app.yaml enables a 2D constant-velocity Kalman filter for pointer smoothing instead of the default EMA. Set to true to try it; default is false."
"projector_profile?","projector_profile in app.yaml is the name of a file in hardware/projector_profiles/ (e.g. generic_1080p). When no calibration exists, the app uses that file for display size. Optional."
"Projector profile?","projector_profile in app.yaml is the name of a file in hardware/projector_profiles/ (e.g. generic_1080p). When no calibration exists, the app uses that file for display size. Optional."
"blur?","blur is the Gaussian blur kernel size (odd integer in pixels) applied before detection; 0 means no blur. Set in app.yaml or in a profile. Larger values reduce noise but can soften small pointers."
"Blur config?","blur is the Gaussian blur kernel size (odd integer in pixels) applied before detection; 0 means no blur. Set in app.yaml or in a profile. Larger values reduce noise but can soften small pointers."
"config-dir?","Default config directory is configs/. Override with smartpi --config-dir /path/to/configs run (or calibrate, healthcheck, etc.). App and wizard load app.yaml and profiles from this directory; calibration.yaml is stored there."
"Config dir?","Default config directory is configs/. Override with smartpi --config-dir /path/to/configs run (or calibrate, healthcheck, etc.). App and wizard load app.yaml and profiles from this directory; calibration.yaml is stored there."
"Calibrate?","Run smartpi calibrate. The wizard shows four corner targets; tap each with your pointer in order (top-left, top-right, bottom-right, bottom-left). Calibration is saved to configs/calibration.yaml. Target: under 2 minutes. See docs/05_calibration_ux.md."
"How to calibrate?","Run smartpi calibrate. The wizard shows four corner targets; tap each with your pointer in order (top-left, top-right, bottom-right, bottom-left). Calibration is saved to configs/calibration.yaml. Target: under 2 minutes. See docs/05_calibration_ux.md."
"Where is calibration saved?","Calibration is saved to configs/calibration.yaml. Do not commit this file; it is machine-specific. Use configs/calibration.yaml.example as a schema reference."
"Calibration file?","Calibration is saved to configs/calibration.yaml. Do not commit this file; it is machine-specific. Use configs/calibration.yaml.example as a schema reference."
"Calibration flow?","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"4 corner flow?","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"Recalibrate?","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Recalibration?","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"DST_PTS?","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Destination points?","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Run app?","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"How to run?","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Fullscreen?","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Run fullscreen?","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Healthcheck?","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"smartpi healthcheck?","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"bom command?","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"smartpi bom?","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"Export diagnostics?","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"export-diagnostics?","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"No camera?","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Camera not detected?","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
"Low FPS?","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Slow FPS?","Lower resolution in configs/app.yaml. Lock exposure if supported. Check Pi temperature and cooling. Close other apps. Try a different profile (e.g. dark_room or daylight) in configs/profiles/ to match lighting."
"Lighting?","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"Too bright?","Use configs/profiles/ to match the environment: classroom, daylight, or dark_room. Too bright: use darker profile or increase pointer brightness. Too dark: increase exposure or use dark_room profile; ensure pointer is visible to camera."
"App crashes?","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"Wont start?","Run pip install -r requirements.txt (or make install). Ensure Python 3.10+. If headless, you need a virtual display or connected projector; Pygame needs a display. Run smartpi healthcheck and check terminal or logs."
"BOM location?","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Where is BOM?","Main BOM: hardware/bom.csv. IR pen BOM: hardware/ir_pen/pen_bom.csv. See docs/01_bill_of_materials.md for parts list and replication."
"Pi 4?","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"Pi 5?","Raspberry Pi 4 or 5 recommended for OpenCV; Pi Zero can play content but is slow for vision. See docs/01_bill_of_materials.md."
"USB camera?","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"CSI camera?","USB: use /dev/video0 etc.; set camera_index in app.yaml. CSI: use libcamera; install libcamera-dev and python3-libcamera; for Smart Pi libcamera path set use_libcamera: true and install picamera2. Check with ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI)."
"IR pen?","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"Bright pointer?","IR pen: use detector: ir in app.yaml; camera should be IR-sensitive or use IR-pass filter; detect_ir_blob finds the blob. Bright pointer (laser or LED): use detector: bright; detect_bright_point finds brightest pixel above threshold."
"IR pen BOM?","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"Pen BOM?","hardware/ir_pen/pen_bom.csv lists parts for building the IR pen. View with smartpi bom --pen or open the file. Assembly and wiring are in hardware/ir_pen/README.md."
"Camera mount?","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"Mount camera?","hardware/camera_mount/ has README, stl/, and cad/ for 3D-printable or CAD camera mounts. See hardware/camera_mount/README.md for how to use the files."
"Enclosure?","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Case?","hardware/enclosure/ holds STL files (in stl/) for the physical enclosure. See hardware/enclosure/README.md. Add or use STL files as needed for your build."
"Scenes?","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Available scenes?","Sandbox Draw (draw with pointer, corner hotzone to change color), Particle Field (pointer pushes particles), and STEM Widgets (ruler, angles, graph paper). Select with keys 1, 2, 3 in the app or as configured."
"Switch scene?","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"What is Smart Pi Projector?","Smart Pi Projector (Smart Pi) is a repair-forward, portable interactive projection system that upcycles e-waste into interactive, open-source classrooms. It turns any flat wall into a touchscreen whiteboard using IR tracking and a Raspberry Pi. See docs/00_overview.md and docs/11_problem_and_value.md."
"What is the Broken EdTech Math?","Traditional interactive EdTech costs about $2,000 per room with proprietary lock-in and e-waste. Equipping 10 classrooms can cost $20,000, which is financially crippling for many districts. Smart Pi offers a cost-disruptive alternative. See docs/11_problem_and_value.md."
"How much does the Starter Kit cost?","The Starter Kit (Smart Kit) targets about $215 per kit. Equip 10 classrooms for about $2,150 instead of $20,000. See docs/01_bill_of_materials.md and docs/11_problem_and_value.md."
"What is in the Smart Kit?","The Smart Kit includes: Raspberry Pi (5 4GB or 4), camera (Pi Camera v3 or equivalent), cables, micro-HDMI to VGA or HDMI adapter, 3.5mm audio, IR pen parts. Drop-shipped for local assembly with a surplus projector. See hardware/bom.csv and docs/01_bill_of_materials.md."
"What is classroom safety for Smart Pi?","Ports-only integration (no invasive soldering to projector mains; use VGA, USB, 3.5mm). Raspberry Pi on fused 5V/5A USB-C. Student soldering only on low-voltage, battery-powered IR pens (supervised). Projector control via RS-232C or PJLink over LAN (no opening chassis). See docs/08_safety_and_power.md."
"What is 4-point auto-calibration?","The camera view is mapped to the projector display using four corner points. You tap each corner with the IR pen; the system solves a homography and saves it to configs/calibration.yaml. See docs/05_calibration_ux.md and docs/04_system_architecture.md."
"What is the Kiosk web UI?","The custom Kiosk web UI is the fullscreen interface where pointer motion becomes OS-level mouse events (draw, click, drag). It loads plugin scene loaders for Sandbox Draw, Particle Field, STEM Widgets, etc. See docs/04_system_architecture.md."
"What is STEM by Design?","The kit is the curriculum: students assemble hardware, learn optics, flash the OS, and perform standard maintenance. Not a sealed black box; Framework laptop ethos. Learning outcomes include repair literacy and technical confidence. See docs/00_overview.md and docs/03_repair_forward_notes.md."
"What is the decentralized drop-ship model?","Schools or gig-workers source surplus projectors locally (SOP). The lightweight Smart Kit (Pi, camera, cables, adapters, IR parts) is drop-shipped to the site. Students and teachers assemble using step-by-step documentation. Reduces carbon, shipping, and capital. See docs/03_repair_forward_notes.md."
"What is the circular supply chain?","Divert: partner with e-waste recyclers to rescue XGA projectors. Upcycle: extend life with Pi-powered brains. Maintain: local repair; projectors as mobile, transferable assets. Right-to-Repair aligned; attractive for sustainability/ESG grants. See docs/03_repair_forward_notes.md."
"What is the 25-kit R&D Pilot Program?","Educators and districts can sign up for the 25-kit (or 25–50) R&D pilot program to transform classrooms. Part of the scaling strategy: ship pilot kits, publish v1 documentation and safety SOPs, then local scaling and district rollouts. See docs/00_overview.md."
"What is the compatibility matrix?","A list of known-good projector models (e.g. Epson EMP-83H) with lamp IDs. Helps mitigate inconsistent projector supply; a small buffer (30–50 units) can be centralized. See docs/01_bill_of_materials.md and docs/03_repair_forward_notes.md."
"What are event and venue requirements?","Stable demo area, wall or portable projection surface, power (Pi + projector), controllable lighting, throw/calibration space, spares (cables, adapters), and semi-contained space. See docs/10_event_and_venue_requirements.md."
"Transform passive consumption into active creation?","That is the project vision: moving from planned obsolescence to planned repair. Students and users build, calibrate, and repair; the kit is the curriculum. See docs/00_overview.md."
"$99 school support?","The $99/year per school tier provides updates, compatibility matrices, and priority email/phone support. DIY users are steered to community forums and documentation. See docs/03_repair_forward_notes.md."
"Pi 5 or Pi Camera v3?","Raspberry Pi 5 (4GB) is recommended for the Starter Kit (Bookworm OS). Tracker can be Pi Camera v3 or Bluetooth Wii Remote for IR tracking. See docs/01_bill_of_materials.md and hardware/bom.csv."
"micro-HDMI to VGA?","For VGA-only surplus projectors use an active micro-HDMI to VGA adapter plus 3.5mm audio. The Bridge in the hardware stack connects Pi to projector. See docs/01_bill_of_materials.md and hardware/bom.csv."
"Change scene?","Press 1 for Sandbox Draw, 2 for Particle Field, 3 for STEM Widgets. Exact keys may be in the renderer; see docs or on-screen hints."
"Overlay key?","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"Toggle overlay?","Press O in the running app to toggle the overlay (FPS, threshold, pointer position, green circle at pointer)."
"Pipeline?","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Data flow?","Capture (camera frames) → Detect (IR or bright point → camera x,y) → Track (smoothing in projector space) → Calibration (homography camera→projector) → Interact (PointerEvents) → Render (scenes and overlay) → Operate (CLI and scripts). See docs/04_system_architecture.md."
"Homography?","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"What is homography?","Homography is a 3x3 matrix that maps camera image coordinates to projector pixel coordinates. It is computed from four point correspondences (four corners) and saved in configs/calibration.yaml. Used every frame to convert detected pointer position to display position."
"Reprojection error?","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"Validation error?","Reprojection error measures how well the homography fits: median distance in projector pixels between expected and transformed points. After calibration, aim for under about 15 px at 1080p. High error means recalibrate or adjust camera."
"create_capture?","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"Capture factory?","create_capture(camera_index, width, height, fps, use_libcamera) is a factory. When use_libcamera is True and picamera2 is available, it returns LibcameraCapture (Picamera2); otherwise CameraCapture (OpenCV). Same interface: open(), read(), release()."
"SmoothingTracker?","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"Tracker?","SmoothingTracker smooths pointer position. Constructor: alpha, max_velocity, use_kalman, process_noise, measurement_noise. When use_kalman is False (default), uses EMA; when True, uses 2D Kalman filter. update(x,y) returns smoothed (x,y); reset() clears state when pointer is lost."
"Kiosk mode?","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Kiosk?","Copy src/smartpi/services/systemd/smartpi.service to /etc/systemd/system/, edit paths, then sudo systemctl enable smartpi. Or use the autostart desktop file in src/smartpi/services/autostart/ for graphical autostart. See build guide step 8."
"Docker?","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"Develop without Pi?","Use Docker: docker build -f docker/Dockerfile.dev -t smartpi-dev . then docker run --rm -it smartpi-dev make test (or bash to shell in). Camera and display are limited or mocked on x86."
"Scripts?","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"install_pi.sh?","scripts/install_pi.sh (deps), healthcheck.sh (camera and display check), run_demo.sh (run app), calibrate.sh (wizard), export_diagnostics.sh (bundle for bug reports), enable_kiosk.sh (prints kiosk setup instructions)."
"Build guide?","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"docs 02_build_guide?","docs/02_build_guide.md: step-by-step from fresh Pi to demo running. Steps: prepare Pi, install system deps (OpenCV, SDL, optional libcamera), clone and pip install, connect hardware, healthcheck, calibrate, run demo, optional kiosk and Docker dev."
"Troubleshooting?","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Troubleshooting doc?","docs/07_troubleshooting.md: no camera, low FPS, bad alignment, lighting, app crash. Fix camera connection, permissions, resolution; try different profiles; run healthcheck."
"Contributing?","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"How to contribute?","See CONTRIBUTING.md: types of contributions (bugs, features, hardware compat, code, docs), local setup, code style (Ruff, Black, type hints), and PR process. Use issue and PR templates. Code of conduct applies."
"Report bug?","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Bug report?","Open an issue on GitHub. Use the bug report template under .github/ISSUE_TEMPLATE/. For hardware compatibility use the hardware_compat template. Include output of smartpi healthcheck and optionally export-diagnostics (no secrets)."
"Handbook?","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"index.html?","index.html at the repo root is the project handbook: a single-page reference with Index, Glossary, Get started, Install, Config, Outcomes, Pipeline, Functions and logic, and Contributing. It defines terms and contracts for the whole project."
"Technical docs?","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"docs technical?","docs/technical/ has deep dives: 01_system_data_flow_and_services.md, 02_capture_layer.md, 03_vision_preprocess_and_detection.md, 04_tracking_and_calibration.md, 05_interaction_events_gestures_adapters.md, 06_renderer_and_ui.md, 07_cli_config_and_operations.md. Each documents functions, data in/out, and logic."
"Installation steps?","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Setup from scratch?","Clone the repo: git clone https://github.com/YOUR_ORG/rashbarrypi.git, then cd rashbarrypi and run ./scripts/install_pi.sh (or pip install -r requirements.txt). For editable install use pip install -e .. See docs/02_build_guide.md for full steps."
"Prerequisites?","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"What do I need?","You need Raspberry Pi 4 or 5 with Raspberry Pi OS (or compatible Linux), an HDMI projector, and a camera (USB or CSI). For IR mode use an IR pen and optionally an IR-pass filter. Software: Python 3.10+, OpenCV, Pygame, NumPy, PyYAML."
"Prepare the Pi?","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"Prepare Pi?","Flash Raspberry Pi OS to a microSD card; enable SSH if needed. Boot the Pi, update: sudo apt update && sudo apt upgrade. Optional: increase GPU memory in raspi-config (Performance Options, e.g. 256)."
"System dependencies?","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Apt packages?","Install system dependencies: sudo apt install -y python3-pip python3-venv libopencv-dev python3-opencv libsdl2-dev libsdl2-image-dev libportmidi-dev. For CSI with libcamera add: sudo apt install -y libcamera-dev python3-libcamera."
"Virtual environment?","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Use venv?","Create a virtual environment with python3 -m venv .venv, activate it, then pip install -r requirements.txt. For development: pip install -e .. install_pi.sh does not create a venv by default."
"Make install?","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
